column,non_null_rows,coverage_share,min,max
dist,274950,1.0,2.0,19930.0
distcap,274950,1.0,2.0,19939.0
distw_arithmetic,274950,1.0,21.0,19904.0
distw_harmonic,274950,1.0,14.0,19904.0
comrelig,203010,0.7383524277141298,0.0,0.997
scaled_sci_2021,162900,0.5924713584288053,48.0,37967668.0
diplo_disagreement,148202,0.5390143662484088,0.0,4.743
manuf_tradeflow_baci,123908,0.4506564829969085,0.0,498159488.0
tradeflow_baci,123908,0.4506564829969085,0.001,500928196.0
tradeflow_imf_d,114200,0.4153482451354792,0.001,539503424.0
tradeflow_comtrade_d,104074,0.3785197308601564,0.001,563200373.845
tradeflow_imf_o,102016,0.3710347335879251,0.001,480688672.0
tradeflow_comtrade_o,88331,0.32126204764502636,0.001,479700084.683
sever_year,41990,0.15271867612293144,1763.0,1997.0
rta_coverage,36858,0.13405346426623022,1.0,3.0
rta_type,36858,0.13405346426623022,1.0,7.0
col_dep_end_year,1860,0.006764866339334425,1710.0,1999.0
distw_arithmetic_jh,0,0.0,,
distw_harmonic_jh,0,0.0,,
