Country,International migrant stock as a percentage of the total population (both sexes)
Burundi,2.9
Comoros,1.6
Djibouti,12.3
Eritrea,0.5
Ethiopia,1.2
Kenya,2.4
Madagascar,0.1
Malawi,1.4
Mauritius,2.3
Mayotte,30.8
Mozambique,1.2
Réunion,14.7
Rwanda,4.5
Seychelles,13.5
Somalia,0.3
South Sudan,7.9
Uganda,2.2
United Republic of Tanzania,0.7
Zambia,0.8
Zimbabwe,2.9
Angola,2.3
Cameroon,2.2
Central African Republic,1.8
Chad,3.3
Congo,8.0
Democratic Republic of the Congo,1.1
Equatorial Guinea,17.9
Gabon,19.4
Sao Tome and Principe,1.2
Botswana,4.9
Eswatini,2.9
Lesotho,0.3
Namibia,4.4
South Africa,6.9
Benin,3.5
Burkina Faso,3.9
Cabo Verde,2.8
Côte d'Ivoire,10.6
Gambia,9.2
Ghana,1.5
Guinea,1.1
Guinea-Bissau,1.3
Liberia,2.5
Mali,2.4
Mauritania,4.1
Niger,1.3
Nigeria,0.7
Saint Helena,6.4
Senegal,1.8
Sierra Leone,0.8
Togo,3.8
Algeria,0.6
Egypt,0.4
Libya,12.0
Morocco,0.3
Sudan,1.6
Tunisia,0.5
Western Sahara,1.0
Armenia,6.5
Azerbaijan,2.7
Bahrain,51.3
Cyprus,16.5
Georgia,1.9
Iraq,1.0
Israel,25.2
Jordan,33.6
Kuwait,74.7
Lebanon,30.2
Oman,43.5
Qatar,65.8
Saudi Arabia,34.0
State of Palestine,5.6
Syrian Arab Republic,4.8
Turkey,5.5
United Arab Emirates,86.3
Yemen,1.4
Kazakhstan,20.2
Kyrgyzstan,3.4
Tajikistan,3.3
Turkmenistan,3.5
Uzbekistan,3.8
Afghanistan,1.4
Bangladesh,0.9
Bhutan,7.0
India,0.4
Iran (Islamic Republic of),3.5
Maldives,14.1
Nepal,1.9
Pakistan,1.8
Sri Lanka,0.2
China,0.1
"China, Hong Kong SAR",39.5
"China, Macao SAR",62.5
Dem. People's Republic of Korea,0.2
Japan,1.7
Mongolia,0.7
Republic of Korea,2.2
Brunei Darussalam,24.8
Cambodia,0.5
Indonesia,0.1
Lao People's Democratic Republic,0.7
Malaysia,10.8
Myanmar,0.1
Philippines,0.2
Singapore,45.5
Thailand,5.1
Timor-Leste,0.7
Viet Nam,0.1
Anguilla,38.3
Antigua and Barbuda,30.0
Aruba,34.6
Bahamas,15.8
Barbados,12.1
British Virgin Islands,65.6
"Bonaire, Sint Eustatius and Saba",52.9
Cayman Islands,42.4
Cuba,0.0
Curaçao,23.5
Dominica,11.4
Dominican Republic,5.3
Grenada,6.4
Guadeloupe,22.1
Haiti,0.2
Jamaica,0.8
Martinique,16.3
Montserrat,27.2
Puerto Rico,8.3
Saint Kitts and Nevis,14.5
Saint Lucia,4.8
Saint Vincent and the Grenadines,4.2
Sint Maarten (Dutch part),68.3
Trinidad and Tobago,3.7
Turks and Caicos Islands,63.1
United States Virgin Islands,54.0
Belize,15.1
Costa Rica,8.5
El Salvador,0.7
Guatemala,0.5
Honduras,0.4
Mexico,0.8
Nicaragua,0.6
Panama,4.7
Argentina,4.8
Bolivia (Plurinational State of),1.3
Brazil,0.4
Chile,3.6
Colombia,0.3
Ecuador,2.4
Falkland Islands (Malvinas),55.4
French Guiana,40.7
Guyana,2.0
Paraguay,2.3
Peru,0.5
Suriname,7.7
Uruguay,2.3
Venezuela (Bolivarian Republic of),4.7
Australia,28.1
New Zealand,22.5
Fiji,1.6
New Caledonia,25.4
Papua New Guinea,0.4
Solomon Islands,0.4
Vanuatu,1.2
Guam,47.0
Kiribati,2.6
Marshall Islands,5.7
Micronesia (Fed. States of),2.5
Nauru,18.2
Northern Mariana Islands,38.8
Palau,27.9
American Samoa,42.1
Cook Islands,19.8
French Polynesia,11.0
Niue,36.3
Samoa,2.2
Tokelau,38.9
Tonga,3.9
Tuvalu,2.1
Wallis and Futuna Islands,8.6
Belarus,11.5
Bulgaria,1.7
Czechia,3.9
Hungary,4.9
Poland,1.6
Republic of Moldova,2.6
Romania,1.4
Russian Federation,8.0
Slovakia,3.3
Ukraine,10.9
Channel Islands,49.8
Denmark,10.5
Estonia,14.8
Faroe Islands,11.4
Finland,5.7
Iceland,11.8
Ireland,16.3
Isle of Man,50.7
Latvia,13.3
Lithuania,4.6
Norway,14.4
Sweden,17.2
United Kingdom,12.8
Albania,1.8
Andorra,54.2
Bosnia and Herzegovina,1.1
Croatia,13.3
Gibraltar,32.8
Greece,11.7
Holy See,100.0
Italy,9.6
Malta,12.1
Montenegro,11.4
North Macedonia,6.3
Portugal,8.3
San Marino,15.6
Serbia,9.1
Slovenia,11.5
Spain,12.6
Austria,17.2
Belgium,15.8
France,12.2
Germany,12.5
Liechtenstein,63.5
Luxembourg,43.9
Monaco,68.9
Netherlands,11.8
Switzerland,29.1
Bermuda,30.0
Canada,20.6
Greenland,10.3
Saint Pierre and Miquelon,16.5
United States of America,15.0
