model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,source_model,source_label,null_type,shuffle_id
rel_scaled_sci_2021__shuffled_000,permutation_null,5.0,2070,6186048.0,6186048.0,4376.760174305378,19312.55348330234,0.6363405077396804,0.641671407536445,-0.4488882535026604,0.9595451330680111,1.0036622502794899,0.006280193236714976,324.0,0.03061152324443621,0.0461580490794512,0.6294685990338165,0.10784376376795302,-0.4488882535026604,-0.5567320172706134,-0.2864881458057887,0.377922569932681,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,0
rel_scaled_sci_2021__shuffled_001,permutation_null,5.0,2070,6186048.0,6186048.0,4253.75235380145,17849.529295952398,0.6449280008644411,0.6487463857759429,-0.40380923668402224,0.9424848675008208,0.9935220657171487,0.00821256038647343,344.0,0.032631105992231735,0.05629823364179222,0.6227053140096618,0.15292278058659114,-0.40380923668402224,-0.5567320172706134,-0.2973752045184458,0.38343979468978096,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,1
rel_scaled_sci_2021__shuffled_002,permutation_null,5.0,2070,6186048.0,6186048.0,4222.109100828913,17865.78608146892,0.647869865118139,0.6539206747482987,-0.38610460625221754,0.9495577203016123,0.9897814240173083,0.007729468599033816,482.0,0.03859304700773098,0.060038875341632714,0.621256038647343,0.17062741101839585,-0.38610460625221754,-0.5567320172706134,-0.2835742786411629,0.399966624340369,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,2
rel_scaled_sci_2021__shuffled_003,permutation_null,5.0,2070,6186048.0,6186048.0,4235.983414330301,18189.871364768176,0.6502784507381044,0.65296759152828,-0.39013269147431506,0.9441715060019817,0.9901362505916972,0.006280193236714976,340.0,0.03468943294278126,0.059684048767243716,0.6285024154589371,0.16659932579629833,-0.39013269147431506,-0.5567320172706134,-0.3021365092434293,0.4008234069926677,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,3
rel_scaled_sci_2021__shuffled_004,permutation_null,5.0,2070,6186048.0,6186048.0,4306.892996539041,18085.267202948056,0.6374530965132251,0.6426122477699278,-0.4378547551332008,0.9519609999443663,0.9973077726206405,0.014009661835748793,660.0,0.03091703153862696,0.0525125267383004,0.5995169082125604,0.11887726213741256,-0.4378547551332008,-0.5567320172706134,-0.2920254852993315,0.3870583038449276,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,4
rel_scaled_sci_2021__shuffled_005,permutation_null,5.0,2070,6186048.0,6186048.0,4251.49958541527,17338.88067915703,0.6379126684980052,0.6408102354503179,-0.4253442780006902,0.9513810963153426,0.9995657699840932,0.011594202898550725,384.0,0.02892285421662072,0.05025452937484781,0.6091787439613526,0.1313877392699232,-0.4253442780006902,-0.5567320172706134,-0.29919800976679517,0.4012842428444908,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,5
rel_scaled_sci_2021__shuffled_006,permutation_null,5.0,2070,6186048.0,6186048.0,4271.006710294073,17878.17542784436,0.6414653923411024,0.6471530958422029,-0.40765218336348474,0.9609046897221054,0.9997334095150464,0.00676328502415459,345.0,0.04185752194389347,0.05008688984389468,0.6410628019323672,0.14907983390712864,-0.40765218336348474,-0.5567320172706134,-0.3028204441463809,0.3555569994727454,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,6
rel_scaled_sci_2021__shuffled_007,permutation_null,5.0,2070,6186048.0,6186048.000000001,4321.606700385049,19299.444597195692,0.6405406124101172,0.6461557371152672,-0.40691066222418115,0.937696065743655,0.9909056097873301,0.007246376811594203,372.0,0.042879483031704205,0.05891468957161091,0.6454106280193237,0.14982135504643224,-0.40691066222418115,-0.5567320172706134,-0.2958374917915934,0.39473926638376894,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,7
rel_scaled_sci_2021__shuffled_008,permutation_null,5.0,2070,6186048.0,6186048.0,4298.873990862326,18401.003708511696,0.6422937045985837,0.6460320771736389,-0.39280100902794013,0.9439956498468867,0.9843878271388742,0.005314009661835749,204.0,0.04561946780393278,0.06543247222006685,0.6357487922705314,0.16393100824267326,-0.39280100902794013,-0.5567320172706134,-0.27275624115338415,0.3993323321422209,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,8
rel_scaled_sci_2021__shuffled_009,permutation_null,5.0,2070,6186048.0,6186048.0,4208.972356852196,17940.449235944718,0.6474158376943027,0.6535682871057934,-0.3393090876118272,0.9215226162602312,0.9661770470452867,0.006280193236714976,240.0,0.08001367154799455,0.08364325231365434,0.7033816425120772,0.21742292965878618,-0.3393090876118272,-0.5567320172706134,-0.2700666215668573,0.4056644969339896,rel_scaled_sci_2021,Corridor Social Connectedness (min-max),shuffled off-diagonal Sigma,9
