model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label,median_improvement_ci_low,median_improvement_ci_high,share_better_ci_low,share_better_ci_high,R2_log_gain_ci_low,R2_log_gain_ci_high,alpha_gdp
combined_additive,combined,5.0,2070,5751056.0,5751056.0,3749.8375211840103,15059.730363947632,0.7233267246181166,0.7225444614502597,-0.03276017944990506,0.7783958608619137,0.8399466216785428,0.10289855072463767,6375.0,0.1058294838148571,0.1975189399294626,0.6135265700483091,0.5034053165815209,-0.03276017944990506,-0.5361654960314259,-0.45381852453345994,0.9809321226506064,Combined FERM: GDP + SCI additive,0.0959447127441666,0.11839046233532335,0.6038647342995169,0.624231884057971,0.4736690021588515,0.5330756820700904,
combined_additive,combined,8.0,2070,5751056.0,5751056.0,3732.5094571089094,15051.749604249377,0.7193731534909302,0.716725571723551,-0.09485951427026307,0.8064888096174885,0.8655084158422852,0.11400966183574879,6316.0,0.09362193081458325,0.17195714576572027,0.6256038647342995,0.44130598176116287,-0.09485951427026307,-0.5361654960314259,-0.2705244137479136,0.741576146457255,Combined FERM: GDP + SCI additive,0.08318180416473403,0.10672348004099264,0.6154589371980677,0.6357487922705314,0.4184948676227805,0.4641204742596545,
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3745.5132544152807,14863.091544538413,0.7145709382103874,0.7138772648315673,-0.1752560976916746,0.8264555611677624,0.8977811881060949,0.13140096618357489,10461.0,0.06646759562557064,0.13968437350191057,0.5768115942028985,0.36090939833975133,-0.1752560976916746,-0.5361654960314259,-0.3566188810320024,0.7551577190596699,Combined FERM: GDP + SCI weighted linear,,,,,,,0.75
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3653.4319537626825,14533.233833285425,0.7098251349158835,0.7068234965208207,-0.17625043498960924,0.8406118034847876,0.8958131062097645,0.13381642512077294,17505.0,0.06538491346384433,0.1416524553982409,0.5845410628019324,0.3599150610418167,-0.17625043498960924,-0.5361654960314259,-0.31972393053971254,0.7347046577905431,Combined FERM: GDP + SCI weighted linear,,,,,,,0.5
combined_linear_weighted,combined,2.0,2070,5751056.0,5751056.0,3538.7016862504556,13418.338687696114,0.6757115588387085,0.6663368231503622,-0.17125489534584282,0.8335562816057931,0.8902099718367168,0.1396135265700483,33587.0,0.061228837041746684,0.14725558977128872,0.5555555555555556,0.3649106006855831,-0.17125489534584282,-0.5361654960314259,-0.6763384699998269,1.0482677788205437,Combined FERM: GDP + SCI weighted linear,,,,,,,0.25
combined_euclidean,combined,8.0,2070,5751056.0,5751056.0,3755.0499360582057,15155.533159003588,0.710976925831776,0.7094757223479986,-0.21010891752834482,0.8450980400142568,0.9127258041887617,0.14106280193236714,13922.0,0.053121758570978866,0.12473975741924385,0.5811594202898551,0.3260565785030811,-0.21010891752834482,-0.5361654960314259,-0.30815786481194046,0.684611150620165,Combined FERM: GDP + SCI signed Euclidean,0.047073796489774354,0.061277857766984356,0.5700483091787439,0.5923478260869565,0.30329011914876314,0.3497356010241823,
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3630.6131694362825,14487.260498354257,0.6973277467725946,0.6923374948802358,-0.23500535803464606,0.8680226085506856,0.921332874801594,0.15120772946859903,13587.0,0.048360922029618725,0.11613268680641146,0.5710144927536231,0.3011601379967799,-0.23500535803464606,-0.5361654960314259,-0.335787067966815,0.677037490914504,Combined FERM: GDP + SCI weighted linear,,,,,,,0.25
combined_linear_weighted,combined,8.0,2070,5751056.0,5751056.0,3836.067342630451,15570.279271328945,0.7075233022275049,0.7073146520138438,-0.2566144588825672,0.8759010126700052,0.9311401628348717,0.14251207729468598,11186.0,0.046372565858243786,0.10632539877313377,0.5748792270531401,0.27955103714885876,-0.2566144588825672,-0.5361654960314259,-0.28768693036239623,0.5575091204931574,Combined FERM: GDP + SCI weighted linear,,,,,,,1.0
combined_additive_rescaled,combined,8.0,2070,5751056.0,5751056.0,3882.489911473882,15931.972027530814,0.7114231281989037,0.7095877437909164,-0.2590302797393773,0.8895865670059486,0.9363738653353667,0.14879227053140096,11295.0,0.045470062399767475,0.1010916962726387,0.5700483091787439,0.2771352162920486,-0.2590302797393773,-0.5361654960314259,-0.30526312322906946,0.5674300843971432,"Combined FERM: GDP + SCI additive, offdiag rescaled",0.03813486576085856,0.05310455715279279,0.5598260869565217,0.5816425120772947,0.2571958681304114,0.296665862741486,
combined_linear_weighted,combined,8.0,2070,5751056.0,5751056.0,3777.950735923262,15393.781397520868,0.7014630447239709,0.6983327239167947,-0.2724195856744931,0.8901226782545726,0.9355325659331848,0.14830917874396135,12611.0,0.04216690328617205,0.10193299567482059,0.5792270531400966,0.26374591035693284,-0.2724195856744931,-0.5361654960314259,-0.22940247756535262,0.5140407870829106,Combined FERM: GDP + SCI weighted linear,,,,,,,0.75
combined_linear_weighted,combined,2.0,2070,5751056.0,5751056.0,3781.8648525572175,14610.760272761487,0.6815344843167358,0.6751348992710339,-0.21918290291538423,0.8832204226110594,0.9234192039761877,0.15845410628019324,14008.0,0.041056530215294124,0.11404635763181777,0.5352657004830917,0.3169825931160417,-0.21918290291538423,-0.5361654960314259,-0.7244005581454868,1.0213762333769565,Combined FERM: GDP + SCI weighted linear,,,,,,,0.5
gdp_only,traditional,8.0,2070,5751056.0,5751056.0,3840.798562210236,15609.267456981395,0.706472986140874,0.7054248199556734,-0.25864372330038776,0.8744371018999162,0.9310376074888806,0.14444444444444443,10844.0,0.040269764518554185,0.10642795411912483,0.5690821256038647,0.2775217727310382,-0.25864372330038776,-0.5361654960314259,-0.25979556498410583,0.5596156833208162,Traditional FERM: GDP only,0.03358613915924345,0.049874872909017404,0.5594202898550724,0.5811594202898551,0.2633611145073394,0.2992922897000999,
gdp_only,traditional,5.0,2070,5751056.0,5751056.0,3862.5073997541285,15580.445530328614,0.7141536560513881,0.715161857408216,-0.22514816720360065,0.8755168428886051,0.9235613773865766,0.14299516908212562,10509.0,0.03852178407360407,0.11390418422142884,0.5521739130434783,0.3110173288278253,-0.22514816720360065,-0.5361654960314259,-0.4602913155143869,0.7613065857008453,Traditional FERM: GDP only,0.02699325975822875,0.051058229033915103,0.5420289855072464,0.5632850241545894,0.2850291988727773,0.3350278858214907,
combined_linear_weighted,combined,8.0,2070,5751056.0,5751056.0,3737.524401498808,15342.142400017392,0.6964765917623921,0.6911047378726989,-0.29014552358012446,0.9030899869919435,0.9404080247166592,0.1565217391304348,17281.0,0.03796234897277895,0.09705753689134634,0.5623188405797102,0.24601997245130147,-0.29014552358012446,-0.5361654960314259,-0.21510000544970367,0.5046186291315894,Combined FERM: GDP + SCI weighted linear,,,,,,,0.5
combined_additive_rescaled,combined,5.0,2070,5751056.0,5751056.0,3931.852287145329,16496.030841815063,0.7189402743878679,0.7188580618395506,-0.24008019452659246,0.9030899869919435,0.9333491658036349,0.14009661835748793,10857.0,0.03347402906558833,0.10411639580437057,0.5434782608695652,0.2960853015048335,-0.24008019452659246,-0.5361654960314259,-0.48684258868201746,0.7458686108580935,"Combined FERM: GDP + SCI additive, offdiag rescaled",0.023146025032515234,0.04492118512892507,0.5327729468599033,0.5550724637681159,0.26936606339615954,0.32546443080141146,
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3861.2155311953397,15589.634049345725,0.7103503131064257,0.7080964501677552,-0.22822872732923738,0.8680213679881357,0.9203579390773876,0.14347826086956522,15706.0,0.032755922657546455,0.11710762253061782,0.5454106280193237,0.30793676870218856,-0.22822872732923738,-0.5361654960314259,-0.4176372271752865,0.7735213983671667,Combined FERM: GDP + SCI weighted linear,,,,,,,1.0
combined_linear_weighted,combined,8.0,2070,5751056.0,5751056.0,3726.147339882372,15295.65444539664,0.6892036763606092,0.6819646112946588,-0.3254837781417623,0.909414375783811,0.9566612660035408,0.15845410628019324,14731.0,0.03148536692909093,0.08080429560446456,0.5690821256038647,0.2106817178896636,-0.3254837781417623,-0.5361654960314259,-0.22741989431483176,0.47571671458753,Combined FERM: GDP + SCI weighted linear,,,,,,,0.25
sci_only,relational,5.0,2070,5751056.0,5751056.0,3850.208105780154,16189.575939309143,0.6740113760308101,0.6624783948709251,-0.342650051341445,0.9401530016467416,0.9703299388869809,0.15555555555555556,23783.0,0.029867239723464334,0.06713562272102444,0.5719806763285025,0.19351544468998094,-0.342650051341445,-0.5361654960314259,-0.27333306282913633,0.425558132620312,Relational FERM: SCI only,0.023798151906527162,0.03590610699535346,0.5603864734299517,0.5830917874396135,0.1766597209365874,0.20727553271388707,
combined_euclidean,combined,5.0,2070,5751056.0,5751056.0,3777.1041126414607,15230.736255125303,0.7059091637767785,0.698063476972556,-0.2515928401688301,0.8772516269087294,0.9294523804793667,0.16135265700483092,20341.0,0.02670558508165255,0.10801318112863871,0.5323671497584541,0.28457265586259584,-0.2515928401688301,-0.5361654960314259,-0.5632139154921878,0.8582273222684258,Combined FERM: GDP + SCI signed Euclidean,0.018438422767946994,0.03300580011494346,0.5227053140096618,0.5434782608695652,0.2541555822816699,0.31594973687342043,
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3648.471496745264,14722.602162422121,0.6819189885537738,0.6734043118342891,-0.30443363209873375,0.9088511385006061,0.9507531032713329,0.16183574879227053,16667.0,0.025994698501278807,0.08671245833667252,0.5444444444444444,0.23173186393269218,-0.30443363209873375,-0.5361654960314259,-0.3841692517141811,0.612283353215842,Combined FERM: GDP + SCI weighted linear,,,,,,,0.0
sci_only,relational,8.0,2070,5751056.0,5751056.0,3881.024957358739,16369.943796744756,0.6690104120429052,0.6555748969129765,-0.42045253598395615,0.9542425094393249,0.9955817466025646,0.1748792270531401,26404.0,0.01872714628118166,0.04188381500544093,0.5541062801932367,0.11571296004746978,-0.42045253598395615,-0.5361654960314259,-0.20564016599830778,0.29902963120833015,Relational FERM: SCI only,0.013352145087334344,0.023084885143172192,0.5420289855072464,0.5657004830917874,0.10297918677888042,0.1304122933412306,
combined_linear_weighted,combined,8.0,2070,5751056.0,5751056.0,3739.1348458846273,15508.003447712614,0.6770434003840661,0.6616004576028518,-0.3854932275470091,0.9213972395604688,0.9771758362132261,0.17149758454106281,29776.0,0.01395997801989958,0.06028972539477926,0.5376811594202898,0.15067226848441684,-0.3854932275470091,-0.5361654960314259,-0.2622959237445088,0.4312498271158068,Combined FERM: GDP + SCI weighted linear,,,,,,,0.0
sci_only,relational,2.0,2070,5751056.0,5751056.0,4036.2573917538834,17136.507988565045,0.6376064942963887,0.6261619676374228,-0.37360566650124394,0.9427476720542917,0.984647206358225,0.1386473429951691,19107.0,0.01225295982692079,0.05281835524978048,0.5256038647342995,0.162559829530182,-0.37360566650124394,-0.5361654960314259,-0.5613953352456168,0.6891689122629534,Relational FERM: SCI only,0.005993639420326661,0.02091608173049663,0.514975845410628,0.5357487922705314,0.1303617718099974,0.19556365788525396,
combined_linear_weighted,combined,2.0,2070,5751056.0,5751056.0,3669.051130495051,15131.02190812477,0.636971443833286,0.617291354146688,-0.4094168869265733,0.927157279236588,0.9864458303733346,0.18695652173913044,53537.0,0.0032152525641760688,0.05101973123467096,0.5024154589371981,0.12674860910485264,-0.4094168869265733,-0.5361654960314259,-0.7987608114333317,0.9196669482395036,Combined FERM: GDP + SCI weighted linear,,,,,,,0.0
combined_linear_weighted,combined,2.0,2070,5751056.0,5751055.999999999,4118.1891604695,17548.799157751768,0.6400952780598319,0.6258539763800509,-0.6392273726893807,1.071933147775997,1.0947210678490482,0.2541062801932367,55485.0,-0.012746286568916854,-0.05725550624104277,0.4396135265700483,-0.10306187665795474,-0.6392273726893807,-0.5361654960314259,-1.0586252255397168,0.8884203056672867,Combined FERM: GDP + SCI weighted linear,,,,,,,0.75
sci_only,relational,1.0,2070,5751056.0,5751056.0,4804.548997826829,21147.34848562765,0.49162742093732026,0.494111762885407,-1.2721795910469318,1.2484956168446006,1.2910900823473717,0.3347826086956522,369440.0,-0.06635755363110973,-0.2536245207393661,0.2985507246376812,-0.7360140950155059,-1.2721795910469318,-0.5361654960314259,-1.2261889698653794,0.42877917465187676,Relational FERM: SCI only,-0.07353099549648254,-0.0588366767553976,0.28840579710144926,0.30821256038647343,-0.7915894654628876,-0.6801150510781193,
combined_linear_weighted,combined,1.0,2070,5751056.0,5751056.0,4394.782682553925,18875.36099117499,0.5223245893598634,0.4735616371159447,-1.2529444472678262,1.1760912590556813,1.2587909812022342,0.3681159420289855,537565.0,-0.0697688997214605,-0.22132541959422863,0.35990338164251207,-0.7167789512364002,-1.2529444472678262,-0.5361654960314259,-1.3985973809341778,0.8616878834688401,Combined FERM: GDP + SCI weighted linear,,,,,,,0.25
combined_linear_weighted,combined,2.0,2070,5751056.0,5751056.0,4523.646413151837,20887.976789467888,0.5611151486257792,0.5481479415593529,-1.3328417584528123,1.278753600952829,1.3223870323729983,0.4033816425120773,265311.0,-0.10674171222436646,-0.28492147076499286,0.3130434782608696,-0.7966762624213863,-1.3328417584528123,-0.5361654960314259,-1.4623152916974567,0.7537027750416109,Combined FERM: GDP + SCI weighted linear,,,,,,,1.0
combined_additive,combined,2.0,2070,5751056.0,5751056.0,4183.7543649026975,19036.77819185612,0.548701084294965,0.5236257877076836,-1.2863927168410472,1.238476789979174,1.2955366195150289,0.37729468599033816,309515.0,-0.11187339998882612,-0.25807105790702345,0.3396135265700483,-0.7502272208096212,-1.2863927168410472,-0.5361654960314259,-1.4931605718656342,0.8213505369113833,Combined FERM: GDP + SCI additive,-0.12676734117255292,-0.09303607160787708,0.3294685990338164,0.3502415458937198,-0.8194245994141224,-0.68827851491163,
gdp_only,traditional,2.0,2070,5751056.0,5751056.0,4519.883041996462,20905.481898223992,0.5609157327569811,0.5544409523911679,-1.3377304520440312,1.278753600952829,1.3249668685446576,0.406280193236715,306816.0,-0.12568342329135762,-0.287501306936652,0.30772946859903383,-0.8015649560126052,-1.3377304520440312,-0.5361654960314259,-1.4170709798757082,0.7189502857685676,Traditional FERM: GDP only,-0.1400560018391493,-0.11233306858138875,0.2975845410628019,0.3178743961352657,-0.863699125540295,-0.7437899280738975,
combined_linear_weighted,combined,1.0,2070,5751056.0,5751056.0,4569.0339817466975,22194.6765462406,0.44898128516928903,0.4053355805035278,-1.824231097392612,1.348581425626296,1.4481012201178982,0.4971014492753623,783862.0,-0.16430644403073447,-0.4106356585098929,0.25507246376811593,-1.288065601361186,-1.824231097392612,-0.5361654960314259,-1.6629520130856033,0.48246847749933874,Combined FERM: GDP + SCI weighted linear,,,,,,,0.0
combined_linear_weighted,combined,1.0,2070,5751056.0,5751056.0,4509.651583466816,20612.566568318383,0.4794203494207455,0.4563154169960814,-1.7057355391137499,1.3222192947339193,1.4162563211847348,0.4676328502415459,734147.0,-0.18910758329868516,-0.3787907595767293,0.28840579710144926,-1.169570043082324,-1.7057355391137499,-0.5361654960314259,-1.6813329272409674,0.7714215156141507,Combined FERM: GDP + SCI weighted linear,,,,,,,0.5
combined_additive_rescaled,combined,2.0,2070,5751056.0,5751056.0,4499.905896098226,22206.20791736127,0.5417523036931771,0.5257140043008469,-1.6821729684949362,1.3424226808222062,1.431490106281347,0.47294685990338164,455376.0,-0.19306991461994777,-0.39402454467334136,0.2579710144927536,-1.1460074724635103,-1.6821729684949362,-0.5361654960314259,-1.600097467238697,0.5531133473602414,"Combined FERM: GDP + SCI additive, offdiag rescaled",-0.21641305888990098,-0.16527828749577714,0.24830917874396136,0.26811594202898553,-1.2203808083339198,-1.0836078977992802,
combined_euclidean,combined,2.0,2070,5751056.0,5751056.0,4690.80320195055,23178.479148499136,0.450464738956051,0.4348995679272863,-2.0513925716084875,1.414973347970818,1.5226607800590908,0.5458937198067633,1002389.0,-0.246642185208025,-0.4851952184510855,0.23429951690821257,-1.5152270755770616,-2.0513925716084875,-0.5361654960314259,-1.7704453097735595,0.5181996247899197,Combined FERM: GDP + SCI signed Euclidean,-0.25924301083554907,-0.22350070831496216,0.2251207729468599,0.24347826086956523,-1.5935294614003608,-1.4460424096847138,
sci_only,relational,0.5,2070,5751056.0,5751056.0,5100.377951109101,24000.82437078415,0.14027638162488154,0.10736259967768003,-3.4129877423517616,1.6020599913279623,1.8361290048548837,0.7193236714975846,4051618.0,-0.39525812646786096,-0.7986634432468783,0.11594202898550725,-2.8768222463203355,-3.4129877423517616,-0.5361654960314259,-2.4510222612042636,0.005469606601157314,Relational FERM: SCI only,-0.4330682795479509,-0.3743095909536558,0.10869565217391304,0.12318840579710146,-2.97429523012439,-2.7957707311842235,
combined_linear_weighted,combined,1.0,2070,5751056.0,5751056.0,4936.302356789481,23806.83754718102,0.3290958603223683,0.3157110094670947,-2.677904224957551,1.4928573804240983,1.6785049545964883,0.6434782608695652,1941335.0,-0.39635280228362074,-0.6410393929884829,0.18309178743961352,-2.141738728926125,-2.677904224957551,-0.5361654960314259,-2.0714831506705496,0.46850142583962684,Combined FERM: GDP + SCI weighted linear,,,,,,,0.75
combined_linear_weighted,combined,0.5,2070,5751056.0,5393851.0,4806.748497159465,27098.183584054594,0.3275085959520764,0.2546251804246309,-3.1067544087650267,1.5797835966168101,1.7944688812729366,0.7705314009661836,3172558.0,-0.4766522531517619,-0.7570033196649313,0.11545893719806763,-2.5705889127336006,-3.1067544087650267,-0.5361654960314259,-2.238543408645967,0.07196470782545288,Combined FERM: GDP + SCI weighted linear,,,,,,,0.25
combined_linear_weighted,combined,0.5,2070,5751056.0,4148693.0,4368.149158819678,25795.205283342104,0.2277304951112879,0.1824244195050879,-3.4154040419820877,1.6089050791473563,1.8580545494584761,0.8120772946859903,4316100.0,-0.5115047254480933,-0.8205889878504705,0.07922705314009662,-2.8792385459506615,-3.4154040419820877,-0.5361654960314259,-2.3327448739217043,-0.001183554048229861,Combined FERM: GDP + SCI weighted linear,,,,,,,0.0
combined_additive,combined,1.0,2070,5751056.0,5751056.0,4830.212814533835,26014.85879268277,0.2821682456076087,0.22907316600214855,-3.245779912725011,1.5797835966168101,1.820818313974783,0.7729468599033816,3476534.0,-0.5130770526411138,-0.7833527523667777,0.11884057971014493,-2.7096144166935847,-3.245779912725011,-0.5361654960314259,-2.3357717217363563,0.12842882344487644,Combined FERM: GDP + SCI additive,-0.5563172850438282,-0.4739528707358169,0.1111111111111111,0.12560386473429952,-2.82998591550657,-2.6213825718914685,
combined_linear_weighted,combined,1.0,2070,5751056.0,5751056.0,5069.343158433196,28261.629737658757,0.24110565727883104,0.23336319459959082,-3.2853166765703845,1.568201724066995,1.8177249557223012,0.7647342995169082,3864403.0,-0.5284826882054515,-0.780259394114296,0.12270531400966184,-2.7491511805389584,-3.2853166765703845,-0.5361654960314259,-2.3200473420704117,0.1555866884257409,Combined FERM: GDP + SCI weighted linear,,,,,,,1.0
gdp_only,traditional,1.0,2070,5751056.0,5751056.0,5069.391959705779,28223.9980818,0.2395545268438465,0.22136329811896835,-3.3010746979969845,1.568201724066995,1.8218451824170907,0.7695652173913043,4166954.0,-0.542372065873466,-0.7843796208090853,0.11932367149758454,-2.7649092019655583,-3.3010746979969845,-0.5361654960314259,-2.310221335170764,0.13332428909309574,Traditional FERM: GDP only,-0.576481531686229,-0.4941732146447291,0.1124830917874396,0.12608695652173912,-2.858089627253871,-2.675571338288904,
combined_euclidean,combined,1.0,2070,5751056.0,5751056.0,4938.422018822711,26740.69540576134,0.22238458217130047,0.18176255858031443,-3.4318030196061953,1.583916496312448,1.8493852956681605,0.8,4375188.0,-0.5518512467832665,-0.8119197340601549,0.11594202898550725,-2.895637523574769,-3.4318030196061953,-0.5361654960314259,-2.4026302776729835,0.1192133841433435,Combined FERM: GDP + SCI signed Euclidean,-0.5875562912750995,-0.5191281856581109,0.10869565217391304,0.12318840579710146,-2.989507043828222,-2.8264907624682123,
