model,label,family,diag_median,off_min,off_p01,off_median,off_p99,off_max,share_negative,share_positive,share_zero,alpha_gdp
gdp_only,Traditional FERM: GDP only,traditional,-0.20803311014415315,-1.8099493602887908,-1.8099493602887908,-0.20803311014415315,1.810983347430394,1.810983347430394,0.5652173913043478,0.41304347826086957,0.021739130434782608,
sci_only,Relational FERM: SCI only,relational,0.0,-1.0,-0.9996387503471383,-0.9766858505284405,0.2896612607161322,1.0,0.7391304347826086,0.014492753623188406,0.2463768115942029,
combined_additive,Combined FERM: GDP + SCI additive,combined,-0.20803311014415315,-2.436413674551948,-2.431611221666805,-0.920305111612654,1.696273612239295,2.810983347430394,0.6932367149758454,0.3038647342995169,0.002898550724637681,
combined_euclidean,Combined FERM: GDP + SCI signed Euclidean,combined,-0.20803311014415315,-1.8099493602887908,-1.8099493602887908,-1.0159043407687185,2.050502249676691,2.0687340778046353,0.6932367149758454,0.3038647342995169,0.002898550724637681,
combined_additive_rescaled,"Combined FERM: GDP + SCI additive, offdiag rescaled",combined,-0.20803311014415315,-1.6577755342190892,-1.6532269010591354,-0.2217964942559521,2.256490546469204,3.3122855300909477,0.5657004830917874,0.43429951690821256,0.0,
combined_linear_weighted,Combined FERM: GDP + SCI weighted linear (alpha_gdp=0),combined,-0.20803311014415315,-1.0,-0.9996387503471383,-0.9766858505284405,0.2896612607161322,1.0,0.7391304347826086,0.014492753623188406,0.2463768115942029,0.0
combined_linear_weighted,Combined FERM: GDP + SCI weighted linear (alpha_gdp=0.25),combined,-0.20803311014415315,-1.108728622123143,-1.1051267824592859,-0.5402405807814888,0.4527458368575985,1.2027458368575985,0.8995169082125604,0.09758454106280193,0.002898550724637681,0.25
combined_linear_weighted,Combined FERM: GDP + SCI weighted linear (alpha_gdp=0.5),combined,-0.20803311014415315,-1.218206837275974,-1.2158056108334026,-0.460152555806327,0.8481368061196475,1.405491673715197,0.6932367149758454,0.3038647342995169,0.002898550724637681,0.5
combined_linear_weighted,Combined FERM: GDP + SCI weighted linear (alpha_gdp=0.75),combined,-0.20803311014415315,-1.3574620202165932,-1.3574620202165932,-0.2881966561847916,1.257163400176677,1.6082375105727955,0.6550724637681159,0.34202898550724636,0.002898550724637681,0.75
combined_linear_weighted,Combined FERM: GDP + SCI weighted linear (alpha_gdp=1),combined,-0.20803311014415315,-1.8099493602887908,-1.8099493602887908,-0.20803311014415315,1.810983347430394,1.810983347430394,0.5652173913043478,0.41304347826086957,0.021739130434782608,1.0
