model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label
abel_option_b,relational,8.0,2070,5751056.0,5751056.0,4069.0666614902607,17443.017522579987,0.6584346243816909,0.6531525294147247,-0.5911271418512314,1.0047544567851594,1.0603087240427873,0.015458937198067632,1046.0,-0.0015763651545398494,-0.022843162434781853,0.46859903381642515,-0.05496164581980545,-0.5911271418512314,-0.5361654960314259,-0.4363573848682572,0.38022774753784966,Corridor Migration Stock (log-ratio z-score)
abel_option_b_log_ratio_minmax,relational,8.0,2070,5751056.0,5751056.0,3968.1732952467555,16915.445353830288,0.6658192200130252,0.665390235534516,-0.5132680221026014,0.9899548630942204,1.0286787141602807,0.011111111111111112,407.0,0.002024824896567634,0.00878684744772505,0.5357487922705314,0.022897473928824574,-0.5132680221026014,-0.5361654960314259,-0.14221380797036925,0.17223731586969016,Corridor Migration Stock (log-ratio min-max)
abel_option_b_log_ratio_rank,relational,8.0,2070,5751056.0,5751056.0,3979.893213087143,17001.058119550584,0.6668796330664608,0.6656122200933031,-0.5220764428578815,0.9830033336395944,1.0323517447030828,0.015458937198067632,689.0,0.0029384542470076783,0.00511381690492257,0.5367149758454106,0.014089053173544475,-0.5220764428578815,-0.5361654960314259,-0.2489923208232521,0.25160093515720583,Corridor Migration Stock (log-ratio rank)
gdp_ferm,traditional,8.0,2070,5751056.0,5751056.0,3835.7384253515424,15575.106355000875,0.7098813662718723,0.7127026213335447,-0.21472415806506473,0.8641037678721267,0.9155451051575128,0.002898550724637681,73.0,0.05523968615758312,0.12192045645049263,0.6719806763285024,0.3214413379663612,-0.21472415806506473,-0.5361654960314259,-0.2326363368661706,0.5633471185920658,Node GDP per capita (log z-score)
gdp_ferm_log_minmax,traditional,5.0,2070,5751056.0,5751056.0,3835.461301650844,15650.953573140983,0.7063148184002698,0.7092254008372811,-0.23707421619139946,0.8803811619455697,0.9243665364957359,0.0014492753623188406,27.0,0.05007593835274127,0.1130990251122695,0.6772946859903382,0.2990912798400265,-0.23707421619139946,-0.5361654960314259,-0.20409390947553946,0.5072922442261287,Node GDP per capita (log min-max)
gdp_ferm_log_rank,traditional,5.0,2070,5751056.0,5751056.0,3870.1639938567355,15831.076551497168,0.7053341389543231,0.7093835718799686,-0.23674473830999077,0.876534562198008,0.923577230721482,0.003864734299516908,95.0,0.05635046675039701,0.11388833088652354,0.6710144927536232,0.29942075772143517,-0.23674473830999077,-0.5361654960314259,-0.2314306032689856,0.526256515067524,Node GDP per capita (log rank)
rel_comrelig,relational,8.0,2070,5751056.0,5751056.0,3942.8501275827584,16770.18310198234,0.6746144089719193,0.6748831802838957,-0.4264289660191096,0.9548017465615847,0.9972913213826939,0.007246376811594203,172.0,0.0238985754668693,0.040174240225311436,0.6236714975845411,0.10973653001231631,-0.4264289660191096,-0.5361654960314259,-0.23641716513471425,0.28869161182421743,Corridor Common Religion (min-max)
rel_comrelig_log_minmax,relational,8.0,2070,5751056.0,5751056.0,3944.986798038879,16800.100810638258,0.6744035047499194,0.6742078969121055,-0.43507222709845306,0.9613542823011447,1.0009749338187053,0.007729468599033816,251.0,0.02189502424352613,0.03649062778930015,0.6275362318840579,0.10109326893297288,-0.43507222709845306,-0.5361654960314259,-0.2527222305950247,0.28877912330213223,Corridor Common Religion (log min-max)
rel_comrelig_log_rank,relational,8.0,2070,5751056.0,5751056.0,4008.7861784807037,17358.79491462605,0.6624093927924486,0.6651091530652972,-0.5927029537280104,1.0436095439638118,1.0585223509225312,0.00966183574879227,482.0,-0.004190316881039324,-0.021056789314525662,0.4429951690821256,-0.05653745769658447,-0.5927029537280104,-0.5361654960314259,-0.23946244607319359,0.18403043008955136,Corridor Common Religion (log rank)
rel_comrelig_row_log_zscore,relational,8.0,2070,5751056.0,5751056.0,4126.157455683234,18309.516150442218,0.6343977572981384,0.6388523829606108,-0.8136561259581148,1.1137039662168626,1.138574970029642,0.03140096618357488,1870.0,-0.021758896366415148,-0.10110940842163653,0.3676328502415459,-0.2774906299266888,-0.8136561259581148,-0.5361654960314259,-0.4413823976016332,0.3088795942528331,Corridor Common Religion (origin log-zscore)
rel_diplo_disagreement,relational,8.0,2070,5751056.0,5751056.0,4056.874196081686,17915.4772313995,0.6495739952842627,0.6579897574052715,-0.7425913764080077,1.0921293966919363,1.1166810710605144,0.018357487922705314,1186.0,-0.05821881666864148,-0.07921550945250874,0.22657004830917873,-0.20642588037658172,-0.7425913764080077,-0.5361654960314259,-0.27429284512669855,0.11895955709738068,Corridor Diplomatic Disagreement (min-max)
rel_diplo_disagreement_log_minmax,relational,8.0,2070,5751056.0,5751056.0,4042.1786800619907,17860.07699669584,0.6506208141583077,0.6589176239168867,-0.681936240739329,1.0687349811132676,1.0926529155582436,0.018357487922705314,855.0,-0.02775398209812663,-0.05518735395023803,0.2748792270531401,-0.14577074470790308,-0.681936240739329,-0.5361654960314259,-0.23893941049211076,0.10292626238791956,Corridor Diplomatic Disagreement (log min-max)
rel_diplo_disagreement_log_rank,relational,8.0,2070,5751056.0,5751056.0,4003.598166444058,17758.081552642394,0.6542392142699747,0.6601039011724111,-0.5399839118702585,0.9982203438026042,1.03531919705699,0.010144927536231883,336.0,0.0004307160432895918,0.002146364551015559,0.5144927536231884,-0.0038184158388325784,-0.5399839118702585,-0.5361654960314259,-0.19661575769267792,0.18696327509789332,Corridor Diplomatic Disagreement (log rank)
