model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label,median_improvement_ci_low,median_improvement_ci_high,share_better_ci_low,share_better_ci_high,R2_log_gain_ci_low,R2_log_gain_ci_high
gdp_ferm_log_rank,traditional,5.0,2070,5751056.0,5751056.0,3870.1639938567355,15831.076551497168,0.7053341389543231,0.7093835718799686,-0.23674473830999077,0.876534562198008,0.923577230721482,0.003864734299516908,95.0,0.05635046675039701,0.11388833088652354,0.6710144927536232,0.29942075772143517,-0.23674473830999077,-0.5361654960314259,-0.2314306032689856,0.526256515067524,Node GDP per capita (log rank),0.047781389568735566,0.06116972129088161,0.659903381642512,0.6811594202898551,0.2831267396354338,0.3174471363692689
gdp_ferm,traditional,8.0,2070,5751056.0,5751056.0,3835.7384253515424,15575.106355000875,0.7098813662718723,0.7127026213335447,-0.21472415806506473,0.8641037678721267,0.9155451051575128,0.002898550724637681,73.0,0.05523968615758312,0.12192045645049263,0.6719806763285024,0.3214413379663612,-0.21472415806506473,-0.5361654960314259,-0.2326363368661706,0.5633471185920658,Node GDP per capita (log z-score),0.04804640609798379,0.06186683334986709,0.6628019323671498,0.6830917874396135,0.3062477053965776,0.3414746849796838
gdp_ferm,traditional,5.0,2070,5751056.0,5751056.0,3859.2947785100173,15578.822823505241,0.7160240306685103,0.720820824479761,-0.18002703585461055,0.8480922861009028,0.9032641992739212,0.006280193236714976,237.0,0.050935364895410284,0.13420136233408425,0.6178743961352657,0.3561384601768154,-0.18002703585461055,-0.5361654960314259,-0.41484269591398176,0.768739139946744,Node GDP per capita (log z-score),0.04354132078286642,0.059509757586487466,0.6067632850241546,0.6270531400966184,0.33130862483993806,0.3798888068784074
gdp_ferm_log_minmax,traditional,5.0,2070,5751056.0,5751056.0,3835.461301650844,15650.953573140983,0.7063148184002698,0.7092254008372811,-0.23707421619139946,0.8803811619455697,0.9243665364957359,0.0014492753623188406,27.0,0.05007593835274127,0.1130990251122695,0.6772946859903382,0.2990912798400265,-0.23707421619139946,-0.5361654960314259,-0.20409390947553946,0.5072922442261287,Node GDP per capita (log min-max),0.04411585568597076,0.05514496038871086,0.6666666666666666,0.68743961352657,0.27991154488689657,0.3158210004351014
rel_scaled_sci_2021,relational,5.0,2070,5751056.0,5751056.0,3848.8940325855383,16200.019584430625,0.677267151157488,0.6747224626596394,-0.28805421404537257,0.9112669506705923,0.9505043137077321,0.004347826086956522,149.0,0.04557684745989343,0.08696124790027324,0.7125603864734299,0.24811128198605337,-0.28805421404537257,-0.5361654960314259,-0.23616974650774653,0.39871585697725365,Corridor Social Connectedness (min-max),0.03833724412791256,0.05036970420181973,0.7033816425120772,0.721256038647343,0.2347375446064305,0.26296401726769775
gdp_ferm_log_rank,traditional,8.0,2070,5751056.0,5751056.000000001,3866.0414569913196,16086.716142218074,0.6934406278327613,0.6968859312995397,-0.3203413582177277,0.9073082895963387,0.9565562143499383,0.004830917874396135,139.0,0.04206321337843928,0.08090934725806714,0.6980676328502415,0.21582413781369825,-0.3203413582177277,-0.5361654960314259,-0.14416034960737772,0.3490893173269275,Node GDP per capita (log rank),0.03753657635391825,0.04750422326901406,0.6884057971014492,0.7086956521739131,0.2050117326977175,0.22684261088717989
gdp_ferm_log_minmax,traditional,8.0,2070,5751056.0,5751056.0,3846.8213300008583,15986.548680710157,0.6935741860792966,0.6962740987904662,-0.323188377681638,0.9045939409341689,0.958375896402709,0.003381642512077295,139.0,0.03715552932897126,0.07908966520529648,0.6917874396135266,0.21297711834978794,-0.323188377681638,-0.5361654960314259,-0.1237875898556002,0.33834650581098563,Node GDP per capita (log min-max),0.033810061423528805,0.041531106228108294,0.6811594202898551,0.702415458937198,0.20213653980741153,0.2242828050449904
rel_scaled_sci_2021,relational,8.0,2070,5751056.0,5751056.0,3875.7853817012656,16352.34512866188,0.6751630099254323,0.6741574646497728,-0.3571142411352062,0.9273294513513299,0.9736461135522536,0.003381642512077295,114.0,0.032665445111821095,0.06381944805575185,0.729951690821256,0.17905125489621976,-0.3571142411352062,-0.5361654960314259,-0.13804074530531965,0.2636261578981165,Corridor Social Connectedness (min-max),0.02906541978010102,0.03741745716498816,0.7217391304347827,0.7405797101449275,0.16962060002919147,0.1884845930227184
rel_comrelig,relational,8.0,2070,5751056.0,5751056.0,3942.8501275827584,16770.18310198234,0.6746144089719193,0.6748831802838957,-0.4264289660191096,0.9548017465615847,0.9972913213826939,0.007246376811594203,172.0,0.0238985754668693,0.040174240225311436,0.6236714975845411,0.10973653001231631,-0.4264289660191096,-0.5361654960314259,-0.23641716513471425,0.28869161182421743,Corridor Common Religion (min-max),0.019762730168698228,0.027300242493705128,0.6130434782608696,0.6342995169082125,0.09845306911412259,0.12066902825376195
rel_comrelig,relational,5.0,2070,5751056.0,5751056.000000001,3953.627042203644,16739.146543459552,0.6695568236148655,0.6673969868027491,-0.4310405109170088,0.9594675691057335,1.0007721522597157,0.00676328502415459,369.0,0.022155406657935695,0.036693409348289574,0.5980676328502416,0.10512498511441715,-0.4310405109170088,-0.5361654960314259,-0.4281601407921602,0.4442635545840741,Corridor Common Religion (min-max),0.016695171983062362,0.02689255579904326,0.5884057971014492,0.6086956521739131,0.08937772049503247,0.1223779525602785
